Timestamp,How old are you?,What industry is your employer in?,What is the functional area of your job (this might be different from your company's industry)?,Job title,"If your job title needs additional context, please clarify here:","What is your annual salary? This should be your GROSS (pre-tax) income. (You'll indicate the currency in a later question.) If you are part-time or hourly, please enter an annualized equivalent -- what you would earn if you worked the job 40 hours a week, 52 weeks a year.","How much additional monetary compensation do you get, if any (for example, bonuses or overtime in an average year)? Only include monetary compensation here, not the value of benefits, tuition reimbursement, etc. If your bonus or overtime varies from year to year, use the most recent figures.",Please indicate the currency,"If ""Other,"" please indicate the currency here: ","If your income needs additional context, please provide it here:",What country do you work in? (Countries listed had by far the largest representation last year. Please write in your country if it's not listed.),"If you're in the U.S., what state do you work in?",What city/region do you work in?,Are you remote or on-site?,Is your job unionized?,How many years of professional work experience do you have overall?,How many years of professional work experience do you have in your field?,What is your highest level of education completed?,What is your gender?,What is your race? (Choose all that apply.),,,,,,
4-9-2024 11:01:42,25-34,Media & Digital,Media & Digital,Digital Project Manager,,73000,,USD,,,United States,New York,New York,Hybrid,No,5-7 years,5-7 years,College degree,Woman,White,,,,,,
4-9-2024 11:02:14,35-44,Education (Higher Education),Health care,Senior Director,,150000,4500,USD,,,United States,California,Norhtern,Hybrid,No,11-20 years,11-20 years,College degree,Woman,White,,,,,,
4-9-2024 11:02:18,35-44,Nonprofits,Administration,Advancement Operations Manager,,53800,,USD,,,United States,Maryland,Olney,Hybrid,No,11-20 years,8-10 years,Master's degree,Woman,White,,,,,,
4-9-2024 11:02:19,25-34,Government & Public Administration,Government & Public Administration,Program Analyst ,,97000,0,USD,,,United States,Colorado,Fort Collins,Fully remote,No,8-10 years,8-10 years,Master's degree,Woman,White,,,,,,
4-9-2024 11:02:24,25-34,Government & Public Administration,Administration,Project Coordinator,,64000,,USD,,,United States,Massachusetts,Boston,Hybrid,No,8-10 years,2-4 years,College degree,Woman,White,,,,,,
4-9-2024 11:02:30,35-44,Health care,Health care,Clinical Nurse Specialist,Advanced Practice Nursing (Master's Degree required),128000,0,CAD,,,Canada,,Calgary,On-site,Yes,11-20 years,11-20 years,Master's degree,Woman,White,,,,,,
4-9-2024 11:02:37,45-54,Government & Public Administration,Health care,Microbiologist ,,136000,0,USD,,,United States,Pennsylvania,Pittsburgh ,Fully remote,No,21-30 years,21-30 years,Doctorate,Woman,White,,,,,,
4-9-2024 11:02:37,18-24,Nonprofits,"Marketing, Advertising & PR",Public Engagement Coordinator,,50000,,USD,,,United States,Virginia,Richmond,Hybrid,No,1 year or less,1 year or less,College degree,Woman,White,,,,,,
4-9-2024 11:02:40,25-34,Computing or Tech,Business or Consulting,Client Success Associate,,68000,5000,USD,,,United States,California,Los Angeles,Fully remote,No,5-7 years,1 year or less,Master's degree,Woman,White,,,,,,
4-9-2024 11:02:45,35-44,"Accounting, Banking & Finance","Accounting, Banking & Finance",Accountant,,80000,2500,USD,,,United States,Ohio,Cleveland,Hybrid,No,11-20 years,11-20 years,College degree,Woman,"Asian or Asian American, White",,,,,,
4-9-2024 11:02:46,45-54,Nonprofits,Nonprofits,Development Officer,,90300,0,USD,,,United States,New York,Near NYC,Fully remote,No,21-30 years,11-20 years,Master's degree,Woman,White,,,,,,
4-9-2024 11:02:47,25-34,Education (Primary/Secondary),Education (Primary/Secondary),Teacher,,60000,,USD,,,United States,Texas,DFW,On-site,No,5-7 years,2-4 years,Master's degree,Woman,White,,,,,,
4-9-2024 11:02:47,35-44,Nonprofits,Art & Design,Graphic Designer,,41000,,USD,,,United States,Wisconsin,Appleton,Hybrid,No,11-20 years,2-4 years,College degree,Woman,White,,,,,,
4-9-2024 11:02:54,35-44,Media & Digital,Media & Digital,Channel lineup associate,"Essentially, data entry",21000,,USD,,,United States,Texas,DFW,Hybrid,No,8-10 years,5-7 years,College degree,Woman,White,,,,,,
4-9-2024 11:03:00,45-54,Engineering,Technology Design,Audiovisual Design Associate,"Design of AV systems for corporate/government/higher ed clients, including client relations and project management",125000,,USD,,,United States,New York,New York,Hybrid,No,21-30 years,21-30 years,Some college,Man,White,,,,,,
4-9-2024 11:03:00,45-54,Nonprofits,"Galleries, Libraries, Archives & Museums",Archivist,,65000,,USD,,,United States,Iowa,Dubuque,On-site,No,21-30 years,11-20 years,Master's degree,Woman,White,,,,,,
4-9-2024 11:03:01,25-34,Retail,Retail,Customer Support Agent,,39520,0,CAD,,,Canada,,Montreal,Hybrid,No,2-4 years,2-4 years,Master's degree,Woman,White,,,,,,
4-9-2024 11:03:01,35-44,Education (Higher Education),Administration,Business Manager,,86053,0,USD,,,United States,Maryland,College Park,On-site,Yes,11-20 years,8-10 years,College degree,Woman,White,,,,,,
4-9-2024 11:03:02,25-34,Architecture,Architecture,Architect III,Licensed,83000,2000,USD,,,United States,New York,New York,Hybrid,No,5-7 years,5-7 years,College degree,Woman,White,,,,,,
4-9-2024 11:03:03,45-54,Computing or Tech,Computing or Tech,Sr. Director,,206659,20000,USD,,,United States,Utah,Salt Lake City,Fully remote,No,21-30 years,8-10 years,College degree,Woman,White,,,,,,
4-9-2024 11:03:03,25-34,Education (Higher Education),"Accounting, Banking & Finance",Budget Analyst,,42000,,USD,,,United States,Montana,Missoula,On-site,Yes,8-10 years,8-10 years,College degree,Woman,White,,,,,,
4-9-2024 11:03:04,25-34,Government & Public Administration,Administration,Workforce development specialist 1,,41254,,USD,,,United States,Kentucky,Frankfort ,On-site,No,5-7 years,5-7 years,Associate's degree,Woman,White,,,,,,
4-9-2024 11:03:07,35-44,Education (Higher Education),Administration,Administrative Assistant III,,64000,3000,USD,,,United States,California,San Diego,Hybrid,Yes,8-10 years,8-10 years,College degree,Woman,White,,,,,,
4-9-2024 11:03:07,25-34,"Galleries, Libraries, Archives & Museums","Galleries, Libraries, Archives & Museums",Editor,,88962,,USD,,,United States,District of Columbia,"Washington, DC",Hybrid,No,8-10 years,8-10 years,Master's degree,Woman,White,,,,,,
4-9-2024 11:03:10,45-54,Gov't Consulting/Contracting,Computing or Tech,Business Analyst,,101000,99000,USD,,,United States,Maryland,"Washington, DC suburbs",Fully remote,No,31-40 years,21-30 years,Master's degree,Man,White,,,,,,
4-9-2024 11:03:11,35-44,Education (Higher Education),"Galleries, Libraries, Archives & Museums",Resource Sharing Librarian,Interlibrary Loan,49000,0,USD,,,United States,Georgia,Carrollton,On-site,No,11-20 years,11-20 years,Master's degree,Woman,White,,,,,,
4-9-2024 11:03:14,55-64,Government & Public Administration,Computing or Tech,Software Developer,,92500,0,USD,,,United States,Pennsylvania,Harrisburg,Fully remote,No,31-40 years,31-40 years,Master's degree,Woman,White,,,,,,
4-9-2024 11:03:15,25-34,"Accounting, Banking & Finance",Computing or Tech,Salesforce Administrator ,,105000,16000,USD,,,United States,Wisconsin,Madison,Fully remote,No,8-10 years,5-7 years,Master's degree,"Woman, Non-binary",White,,,,,,
4-9-2024 11:03:17,35-44,"Accounting, Banking & Finance","Accounting, Banking & Finance",Loan Processor,,34348,3000,USD,,,United States,Nebraska,Midwest,On-site,No,21-30 years,5-7 years,Associate's degree,Woman,White,,,,,,
4-9-2024 11:03:22,35-44,Computing or Tech,Computing or Tech,Principal Developer,,142000,,CAD,,,Canada,,Ontario,Hybrid,No,21-30 years,11-20 years,College degree,Man,White,,,,,,
4-9-2024 11:03:23,35-44,Health care,"Marketing, Advertising & PR",Video Editor,,95000,3800,USD,,,United States,Missouri,St Louis,Fully remote,No,11-20 years,11-20 years,College degree,Woman,White,,,,,,
4-9-2024 11:03:27,45-54,Health care,Health care,Nurse,,160000,2000,USD,,,United States,New York,NYC,On-site,No,21-30 years,11-20 years,Master's degree,Woman,White,,,,,,
4-9-2024 11:03:30,25-34,Computing or Tech,Utilities & Telecommunications,Sr BI Analyst,,90000,10000,CAD,,,Canada,,vancouver island,Other/it's complicated,,8-10 years,5-7 years,Doctorate,Woman,Asian or Asian American,,,,,,
4-9-2024 11:03:34,25-34,Science,Computing or Tech,Data Analyst,,60000,,USD,,,United States,Massachusetts,Boston,Hybrid,No,5-7 years,2-4 years,Master's degree,Other or prefer not to answer,White,,,,,,
4-9-2024 11:03:41,25-34,"Accounting, Banking & Finance","Accounting, Banking & Finance",Assistant Finance Analyst ,,29925,900,GBP,,,United Kingdom,,Essex,Hybrid,No,5-7 years,5-7 years,College degree,Woman,White,,,,,,
4-9-2024 11:03:42,45-54,Nonprofits,Nonprofits,Philanthropy Manager,,37000,0,GBP,,,United Kingdom,,London,Hybrid,No,21-30 years,5-7 years,Master's degree,Woman,White,,,,,,
4-9-2024 11:03:43,25-34,Government & Public Administration,Administration,Admin Support Specialist,,70000,,USD,,,United States,Washington,Seattle,Hybrid,No,8-10 years,1 year or less,College degree,Non-binary,White,,,,,,
4-9-2024 11:03:43,35-44,"Accounting, Banking & Finance",Administration,Compliance and Training Analyst,,87000,10000,USD,,,United States,Ohio,Columbus,Hybrid,No,8-10 years,8-10 years,College degree,Woman,White,,,,,,
4-9-2024 11:03:44,45-54,Education (Higher Education),Education (Higher Education),Academic librarian ,,74000,15000,GBP,,,United Kingdom,,Cambridge ,Hybrid,Yes,31-40 years,31-40 years,Doctorate,Woman,White,,,,,,
4-9-2024 11:03:46,35-44,Business or Consulting,Computing or Tech,Data scientist,,89000,0,GBP,,,United Kingdom,,London,Hybrid,No,21-30 years,8-10 years,Master's degree,Woman,White,,,,,,
4-9-2024 11:03:47,45-54,Engineering,Engineering,Senior Mechanical Engineer,,127000,3800,USD,,,United States,New Hampshire,Merrimack,On-site,No,21-30 years,21-30 years,College degree,Man,White,,,,,,
4-9-2024 11:03:49,35-44,Utilities & Telecommunications,Law,Carrier Relations Sr. Manager,,132000,20000,USD,,,United States,Missouri,St. Louis,On-site,No,8-10 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White,,,,,,
4-9-2024 11:03:49,35-44,Health care,Communications,Internal Communications Manager,,102000,,USD,,,United States,Pennsylvania,Philadelphia ,Hybrid,No,21-30 years,11-20 years,Master's degree,Woman,Black or African American,,,,,,
4-9-2024 11:03:50,35-44,Entertainment,Communications,"Director, Communications",,144000,21000,USD,,,United States,New York,New York,Hybrid,No,11-20 years,11-20 years,Master's degree,Woman,White,,,,,,
4-9-2024 11:03:52,55-64,Government & Public Administration,"Accounting, Banking & Finance",Internal Audit Director,,105000,0,USD,,,United States,Minnesota,St. Paul,Hybrid,Yes,41 years or more,31-40 years,College degree,Woman,White,,,,,,
4-9-2024 11:03:53,25-34,Computing or Tech,Communications,Corporate Communications Manager,,64500,,GBP,,,United Kingdom,,"Cambridge, UK",Hybrid,No,11-20 years,8-10 years,College degree,Non-binary,White,,,,,,
4-9-2024 11:03:55,45-54,Education (Higher Education),Recruitment or HR,Compliance Officer ,Human Resources--Benefits Administration,122000,0,USD,,,United States,Massachusetts,Western Massachusetts,Hybrid,No,21-30 years,21-30 years,College degree,Woman,White,,,,,,
4-9-2024 11:03:55,25-34,Insurance,Computing or Tech,Business analyst,IT business analyst specifcially,83000,5740,CHF,,,Switzerland,,Vaud,Hybrid,No,2-4 years,1 year or less,Master's degree,Woman,White,,,,,,
4-9-2024 11:03:58,45-54,Engineering,Computing or Tech,ERP Database Administrator,,95000,2000,USD,,,United States,Colorado,Denver/Colorado Springs,Fully remote,No,21-30 years,21-30 years,College degree,Woman,White,,,,,,
4-9-2024 11:04:01,35-44,Social Work,Social Work,Program Supervisor at Child Welfare Agency,,72000,0,USD,,,United States,Illinois,Moline,On-site,No,11-20 years,11-20 years,Master's degree,Woman,White,,,,,,
4-9-2024 11:04:04,25-34,Education (Higher Education),"Marketing, Advertising & PR",Marketing Strategist,,87000,2000,USD,,,United States,North Carolina,Chapel Hill ,Fully remote,No,5-7 years,5-7 years,College degree,Woman,White,,,,,,
4-9-2024 11:04:04,35-44,Retail,"Marketing, Advertising & PR",Senior Project Manager,,153000,,USD,,,United States,New Jersey,"Bergen County, NJ",Fully remote,No,11-20 years,2-4 years,College degree,Woman,White,,,,,,
4-9-2024 11:04:05,25-34,Entertainment,Nonprofits,Executive director,,60000,,USD,,,United States,New York,New York City,Fully remote,No,8-10 years,5-7 years,College degree,Woman,White,,,,,,
4-9-2024 11:04:08,55-64,Health care,Media & Digital,HR Director,,175000,25000,USD,,,United States,Washington,Seattle ,Fully remote,No,21-30 years,11-20 years,College degree,Woman,White,,,,,,
4-9-2024 11:04:10,35-44,Government & Public Administration,Science,Data Science,,83000,,CAD,,,Canada,,BC,Fully remote,Yes,11-20 years,11-20 years,Master's degree,Woman,White,,,,,,
4-9-2024 11:04:09,25-34,Insurance,Customer service ,Customer Relationship Specialist 1,,51000,,USD,,,United States,Minnesota,Minneapolis ,Hybrid,No,5-7 years,2-4 years,College degree,Woman,White,,,,,,
4-9-2024 11:04:12,35-44,Education (Higher Education),Education (Higher Education),Senior Director,,106000,2000,USD,,,United States,Washington,Seattle,Fully remote,No,11-20 years,11-20 years,Master's degree,Man,"Hispanic, Latino, or Spanish origin, White",,,,,,
4-9-2024 11:04:12,35-44,Nonprofits,Education (Higher Education),ESL Instructor (adults),,45000,,CAD,,,Canada,,"St. John?s, Newfoundland ",Hybrid,No,11-20 years,11-20 years,Master's degree,Woman,White,,,,,,
4-9-2024 11:04:14,25-34,Administration,Operations ,Operations Lead,,87000,5000,USD,,,United States,Virginia,Northern Virginia ,Fully remote,No,5-7 years,5-7 years,Master's degree,Woman,White,,,,,,
4-9-2024 11:04:15,45-54,Manufacturing,"Accounting, Banking & Finance",Senior Staff Accountant,,78280,0,USD,,,United States,Minnesota,Twin Cities,Hybrid,No,21-30 years,11-20 years,College degree,Woman,White,,,,,,
4-9-2024 11:04:21,55-64,Insurance,Insurance,Operations Auditor,,87000,0,USD,,,United States,Missouri,Saint Louis,Fully remote,No,31-40 years,11-20 years,Master's degree,Woman,White,,,,,,
4-9-2024 11:04:22,65 or over,Insurance,Computing or Tech,lead application development engineer,senior lead in applicatoin development,128000,8000,USD,,,United States,Wisconsin,madison wi,Hybrid,No,31-40 years,31-40 years,College degree,Woman,White,,,,,,
4-9-2024 11:04:22,25-34,"Galleries, Libraries, Archives & Museums","Galleries, Libraries, Archives & Museums",Library Assistant,,34320,,USD,,,United States,Georgia,Norcross,On-site,No,5-7 years,2-4 years,Master's degree,Woman,White,,,,,,
4-9-2024 11:04:23,35-44,Law,Law,Law Firm Partner,,871000,90000,USD,,,United States,Texas,Dallas,On-site,No,11-20 years,11-20 years,"Professional degree (MD, JD, etc.)",Woman,White,,,,,,
4-9-2024 11:04:25,35-44,"Accounting, Banking & Finance",Compliance,Compliance Officer,Lending Compliance Officer,113300,17000,USD,,,United States,Washington,Portland Metro Area,Fully remote,No,11-20 years,5-7 years,Master's degree,Woman,White,,,,,,
4-9-2024 11:04:32,55-64,Health care,Health care,CRNA,anesthesia nurse,224640,,USD,,,United States,Pennsylvania,Pittsburgh,On-site,No,31-40 years,31-40 years,Master's degree,Woman,White,,,,,,
4-9-2024 11:04:39,25-34,Education (Higher Education),Administration,"Associate Director, Operations",,79000,,USD,,,United States,District of Columbia,Washington,Hybrid,No,8-10 years,8-10 years,College degree,Woman,White,,,,,,
4-9-2024 11:04:41,35-44,Education (Higher Education),Administration,Grant Manager,,68000,0,USD,,,United States,Missouri,Kansas City,Fully remote,No,8-10 years,8-10 years,Master's degree,Non-binary,White,,,,,,
4-9-2024 11:04:42,35-44,Architecture,Drafting,Design Professional,,50000,7000,USD,,,United States,Maryland,Glen Burnie,On-site,No,11-20 years,5-7 years,Associate's degree,Woman,White,,,,,,
4-9-2024 11:04:44,25-34,Government & Public Administration,Recruitment or HR,Worker?s Compensation Specialist,,80000,0,USD,,,United States,District of Columbia,Washington DC,On-site,No,11-20 years,2-4 years,College degree,Woman,White,,,,,,
4-9-2024 11:04:44,45-54,Nonprofits,Nonprofits,Program Coordinator,,35360,0,USD,,24 hrs/wk,United States,New York,Albany,On-site,No,8-10 years,2-4 years,College degree,Woman,White,,,,,,
4-9-2024 11:04:45,35-44,Supply Chain Management,"Marketing, Advertising & PR",Marketing Content Manager,,72000,2500,USD,,,United States,Texas,Houston,Hybrid,No,5-7 years,5-7 years,Master's degree,Woman,White,,,,,,
4-9-2024 11:04:47,35-44,"Accounting, Banking & Finance","Accounting, Banking & Finance",Tax Associate,I prepare tax returns.  I am not a CPA (but work for/with CPAs),55700,1000,USD,,,United States,Massachusetts,"Greater Boston (Wakefield, MA)",Hybrid,No,8-10 years,2-4 years,Associate's degree,Non-binary,"Middle Eastern or Northern African, White",,,,,,
4-9-2024 11:04:48,25-34,Nonprofits,Communications,Senior Communications Associate,,65000,0,USD,,,United States,Massachusetts,Boston,Hybrid,No,2-4 years,2-4 years,College degree,Woman,White,,,,,,
4-9-2024 11:04:48,35-44,Computing or Tech,Media & Digital,Software Engineer,,127000,,USD,,,United States,New York,New York City,Fully remote,No,11-20 years,2-4 years,Master's degree,Woman,White,,,,,,
